"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"a","P","2","191","link","CCR of 7.9 exceeds 4.5.","Registrar","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://registrar.illinois.edu","","","","","","","","",""
"a","P","2","193","link","CCR of 7.9 exceeds 4.5.","Canvas","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","https://canvas.illinois.edu","","","","","","","","",""
"a","P","2","195","link","CCR of 7.9 exceeds 4.5.","Compass","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","https://compass2g.illinois.edu/","","","","","","","","",""
"a","P","2","197","link","CCR of 7.9 exceeds 4.5.","Library","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://library.illinois.edu","","","","","","","","",""
"a","P","2","199","link","CCR of 16.1 exceeds 4.5.","Research","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","research/index.html","","submenu-trigger","","","","","","",""
"a","P","2","209","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Vice Chancellor for Research and Innovation","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://research.illinois.edu/","-1","","","","","","","",""
"a","P","2","211","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Research News","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://news.illinois.edu/","-1","","","","","","","",""
"a","P","2","213","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Research Centers","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://research.illinois.edu/research-illinois/research-centers-and-programs","-1","","","","","","","",""
"a","P","2","215","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Find an Illinois Expert (Illinois Research Connections)","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://experts.illinois.edu/","-1","","","","","","","",""
"a","P","2","217","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Office of Undergraduate Research","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://undergradresearch.illinois.edu/","-1","","","","","","","",""
"a","P","2","219","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Research Park","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://researchpark.illinois.edu/","-1","","","","","","","",""
"a","P","2","221","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Technology Commercialization","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://otm.illinois.edu/","-1","","","","","","","",""
"a","P","2","223","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Corporate Partnership Opportunities","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://corporaterelations.illinois.edu/","-1","","","","","","","",""
"a","P","2","225","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Library","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://library.illinois.edu","-1","","","","","","","",""
"h3","P","2","228","heading","CCR of 7.8 exceeds 4.5.","Related Links : Research","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","232","link","CCR of 7.9 exceeds 4.5.","Research Calendar","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://calendars.illinois.edu/list/4757","","","","","","","","",""
"a","P","2","234","link","CCR of 7.9 exceeds 4.5.","Strategic Plan","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://strategicplan.illinois.edu/","","","","","","","","",""
"a","P","2","236","link","CCR of 7.9 exceeds 4.5.","Research Park","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://researchpark.illinois.edu","","","","","","","","",""
"a","P","2","238","link","CCR of 16.1 exceeds 4.5.","Outreach","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","outreach/index.html","","submenu-trigger","","","","","","",""
"a","P","2","248","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Corporate Relations","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://corporaterelations.illinois.edu/","-1","","","","","","","",""
"a","P","2","250","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Community","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://engage.illinois.edu/","-1","","","","","","","",""
"a","P","2","252","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","U of I Extension","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://extension.illinois.edu","-1","","","","","","","",""
"a","P","2","254","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","4-H Youth Development","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://4h.extension.illinois.edu","-1","","","","","","","",""
"a","P","2","256","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Outreach Events","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://engage.illinois.edu/filter/UpcomingEvents","-1","","","","","","","",""
"h3","P","2","259","heading","CCR of 7.8 exceeds 4.5.","Related Links : Outreach","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","263","link","CCR of 7.9 exceeds 4.5.","Strategic Plan","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://strategicplan.illinois.edu/","","","","","","","","",""
"a","P","2","265","link","CCR of 7.9 exceeds 4.5.","Calendars","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","resources/calendars.html","","","","","","","","",""
